event_id,user_id,event_timestamp,event_date,event_hour,day_of_week,category,action_type,reactions_received,session_id
E1037616,U104414,2025-12-01 00:04:12,2025-12-01,0,Monday,Memes & Humour,pick,6,S4414_0
E1028166,U103278,2025-12-01 00:07:18,2025-12-01,0,Monday,Travel,pick,5,S3278_0
E1013352,U101576,2025-12-01 00:08:14,2025-12-01,0,Monday,Music,browse,0,S1576_0
E1039409,U104651,2025-12-01 00:13:49,2025-12-01,0,Monday,Memes & Humour,browse,0,S4651_0
E1035922,U104228,2025-12-01 00:26:08,2025-12-01,0,Monday,Food & Drink,comment,3,S4228_0
E1033770,U103936,2025-12-01 00:29:54,2025-12-01,0,Monday,Gaming,browse,0,S3936_0
E1033135,U103864,2025-12-01 00:36:41,2025-12-01,0,Monday,Sports,browse,0,S3864_0
E1023386,U102696,2025-12-01 00:47:41,2025-12-01,0,Monday,Sports,pick,14,S2696_0
E1007239,U100857,2025-12-01 00:57:53,2025-12-01,0,Monday,Tech & Gadgets,pick,7,S857_0
E1017105,U102006,2025-12-01 01:03:31,2025-12-01,1,Monday,Movies & TV,pick,6,S2006_0
E1039393,U104651,2025-12-01 01:32:35,2025-12-01,1,Monday,Food & Drink,react,0,S4651_0
E1010259,U101204,2025-12-01 01:36:20,2025-12-01,1,Monday,Current Affairs,browse,0,S1204_0
E1000762,U100091,2025-12-01 01:43:13,2025-12-01,1,Monday,Gaming,react,0,S91_0
E1017305,U102027,2025-12-01 01:46:46,2025-12-01,1,Monday,Sports,browse,0,S2027_0
E1033431,U103893,2025-12-01 01:49:38,2025-12-01,1,Monday,Music,browse,0,S3893_0
E1035533,U104168,2025-12-01 01:54:11,2025-12-01,1,Monday,Gaming,browse,0,S4168_0
E1032122,U103749,2025-12-01 02:25:50,2025-12-01,2,Monday,Movies & TV,comment,5,S3749_0
E1007234,U100857,2025-12-01 02:40:00,2025-12-01,2,Monday,Music,browse,0,S857_0
E1030449,U103513,2025-12-01 03:03:41,2025-12-01,3,Monday,Movies & TV,browse,0,S3513_0
E1032043,U103731,2025-12-01 03:10:10,2025-12-01,3,Monday,Food & Drink,browse,0,S3731_0
E1018822,U102177,2025-12-01 03:24:48,2025-12-01,3,Monday,Food & Drink,browse,0,S2177_0
E1037217,U104371,2025-12-01 03:32:04,2025-12-01,3,Monday,Memes & Humour,pick,8,S4371_0
E1016900,U101988,2025-12-01 03:54:32,2025-12-01,3,Monday,Memes & Humour,browse,0,S1988_0
E1013930,U101638,2025-12-01 04:20:08,2025-12-01,4,Monday,Sports,share,0,S1638_0
E1033230,U103872,2025-12-01 04:26:15,2025-12-01,4,Monday,Gaming,react,0,S3872_0
E1032124,U103749,2025-12-01 04:32:01,2025-12-01,4,Monday,Gaming,react,0,S3749_0
E1032048,U103731,2025-12-01 04:36:11,2025-12-01,4,Monday,Gaming,browse,0,S3731_0
E1037365,U104389,2025-12-01 04:54:17,2025-12-01,4,Monday,Sports,pick,5,S4389_0
E1015467,U101797,2025-12-01 05:05:09,2025-12-01,5,Monday,Movies & TV,pick,2,S1797_0
E1013286,U101562,2025-12-01 05:10:04,2025-12-01,5,Monday,Gaming,react,0,S1562_0
E1019886,U102322,2025-12-01 05:10:44,2025-12-01,5,Monday,Sports,pick,5,S2322_0
E1019964,U102326,2025-12-01 05:13:57,2025-12-01,5,Monday,Movies & TV,browse,0,S2326_0
E1000770,U100091,2025-12-01 05:17:51,2025-12-01,5,Monday,Memes & Humour,pick,7,S91_0
E1020145,U102347,2025-12-01 05:25:52,2025-12-01,5,Monday,Sports,browse,0,S2347_0
E1030463,U103513,2025-12-01 05:37:16,2025-12-01,5,Monday,Tech & Gadgets,browse,0,S3513_0
E1033536,U103906,2025-12-01 05:50:07,2025-12-01,5,Monday,Books,browse,0,S3906_0
E1013862,U101632,2025-12-01 05:59:05,2025-12-01,5,Monday,Travel,pick,3,S1632_0
E1014295,U101682,2025-12-01 05:59:57,2025-12-01,5,Monday,Movies & TV,browse,0,S1682_0
E1024349,U102811,2025-12-01 06:01:00,2025-12-01,6,Monday,Movies & TV,browse,0,S2811_0
