user_id,waitlist_signup_date,acquisition_channel,device,region,age_group,onboarding_completed,onboarding_date,first_opinion_posted,first_post_date,active_week_1,user_segment,engagement_propensity
U100000,2025-10-02,organic,Android,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.424
U100001,2025-10-10,organic,iOS,Metro,35-44,False,,False,,False,Dropped (no onboarding),0.249
U100002,2025-10-21,influencer,iOS,Tier 3,25-34,True,2025-10-25,True,2025-10-31,False,Voter,0.431
U100003,2025-10-10,organic,iOS,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.285
U100004,2025-10-25,social_ads,Web,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.225
U100005,2025-11-03,social_ads,Android,Tier 2,25-34,True,2025-11-09,False,,False,Browser,0.385
U100006,2025-10-10,social_ads,iOS,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.468
U100007,2025-09-20,social_ads,iOS,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.049
U100008,2025-10-20,organic,iOS,Metro,25-34,True,2025-10-27,True,2025-10-31,False,Voter,0.134
U100009,2025-11-09,organic,Android,Tier 1,18-24,True,2025-11-13,True,2025-11-15,False,Voter,0.556
U100010,2025-09-22,app_store,Android,Tier 3,18-24,True,2025-09-27,True,2025-10-02,True,Voter,0.366
U100011,2025-10-12,referral,Web,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.177
U100012,2025-11-08,social_ads,Android,Tier 2,25-34,True,2025-11-14,True,2025-11-17,True,Creator,0.658
U100013,2025-10-02,referral,Web,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.078
U100014,2025-10-22,influencer,Android,Tier 1,35-44,True,2025-11-04,False,,False,Browser,0.888
U100015,2025-09-30,app_store,Android,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.031
U100016,2025-09-20,social_ads,Web,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.219
U100017,2025-09-24,app_store,iOS,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.254
U100018,2025-10-17,influencer,iOS,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.53
U100019,2025-10-11,organic,Android,Tier 1,18-24,True,2025-10-25,False,,False,Browser,0.274
U100020,2025-10-22,influencer,Android,Metro,18-24,True,2025-11-03,False,,False,Browser,0.054
U100021,2025-09-22,app_store,Android,Metro,18-24,True,2025-09-25,True,2025-09-26,False,Voter,0.538
U100022,2025-10-26,influencer,iOS,Tier 3,18-24,False,,False,,False,Dropped (no onboarding),0.49
U100023,2025-09-20,social_ads,Android,Tier 1,18-24,True,2025-09-21,True,2025-09-23,True,Voter,0.425
U100024,2025-10-21,referral,Android,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.254
U100025,2025-10-17,organic,Android,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.252
U100026,2025-09-12,social_ads,Web,Metro,18-24,True,2025-09-23,True,2025-09-29,True,Voter,0.48
U100027,2025-10-25,organic,iOS,Tier 2,25-34,True,2025-11-03,True,2025-11-06,True,Voter,0.435
U100028,2025-10-05,app_store,Android,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.476
U100029,2025-11-15,influencer,Web,Tier 3,35-44,False,,False,,False,Dropped (no onboarding),0.108
U100030,2025-09-29,social_ads,Android,Tier 1,25-34,True,2025-09-30,False,,False,Browser,0.28
U100031,2025-11-09,referral,Android,Tier 2,25-34,True,2025-11-20,True,2025-11-27,False,Voter,0.523
U100032,2025-09-22,organic,Android,Metro,18-24,True,2025-10-04,False,,False,Browser,0.445
U100033,2025-09-09,social_ads,iOS,Metro,25-34,True,2025-09-09,False,,True,Browser,0.639
U100034,2025-10-31,app_store,Android,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.129
U100035,2025-09-06,influencer,Android,Metro,45+,True,2025-09-15,False,,False,Browser,0.657
U100036,2025-09-15,organic,Web,Tier 3,18-24,True,2025-09-18,True,2025-09-22,True,Creator,0.734
U100037,2025-11-06,organic,iOS,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.528
U100038,2025-10-04,social_ads,iOS,Tier 1,35-44,True,2025-10-07,False,,False,Browser,0.349
U100039,2025-10-14,app_store,iOS,Tier 1,25-34,True,2025-10-17,False,,False,Browser,0.468
U100040,2025-10-27,social_ads,iOS,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.417
U100041,2025-10-26,social_ads,Android,Tier 1,35-44,False,,False,,False,Dropped (no onboarding),0.385
U100042,2025-10-01,influencer,iOS,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.644
U100043,2025-09-06,app_store,Android,Tier 1,18-24,True,2025-09-19,True,2025-09-24,False,Creator,0.644
U100044,2025-09-19,app_store,Android,Metro,45+,False,,False,,False,Dropped (no onboarding),0.514
U100045,2025-09-23,social_ads,Web,Tier 3,18-24,True,2025-10-01,True,2025-10-07,True,Voter,0.072
U100046,2025-11-05,app_store,Android,Tier 1,35-44,True,2025-11-18,False,,False,Browser,0.259
U100047,2025-11-08,referral,Android,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.356
U100048,2025-09-11,social_ads,Android,Tier 3,18-24,False,,False,,False,Dropped (no onboarding),0.172
U100049,2025-10-02,app_store,iOS,Metro,18-24,True,2025-10-06,False,,True,Browser,0.604
U100050,2025-11-16,social_ads,Web,Metro,35-44,True,2025-11-28,False,,False,Browser,0.423
U100051,2025-10-04,influencer,Android,Metro,18-24,True,2025-10-18,False,,False,Browser,0.306
U100052,2025-10-22,influencer,Android,Tier 2,18-24,True,2025-11-05,False,,False,Browser,0.763
U100053,2025-10-21,app_store,iOS,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.283
U100054,2025-10-19,social_ads,iOS,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.519
U100055,2025-09-30,referral,Android,Metro,18-24,True,2025-10-12,True,2025-10-16,True,Voter,0.546
U100056,2025-09-14,organic,Android,Tier 2,35-44,True,2025-09-22,False,,False,Browser,0.288
U100057,2025-10-17,social_ads,iOS,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.167
U100058,2025-10-26,social_ads,Android,Metro,18-24,True,2025-11-01,False,,False,Browser,0.035
U100059,2025-09-07,referral,iOS,Tier 2,18-24,True,2025-09-13,False,,True,Browser,0.581
U100060,2025-11-17,organic,Android,Tier 1,18-24,True,2025-11-30,False,,False,Browser,0.427
U100061,2025-09-02,influencer,iOS,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.191
U100062,2025-09-04,organic,iOS,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.892
