user_id,waitlist_signup_date,acquisition_channel,device,region,age_group,onboarding_completed,onboarding_date,first_opinion_posted,first_post_date,active_week_1,user_segment,engagement_propensity,predicted_retention_prob,cluster_label
U100000,2025-10-02,organic,Android,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.424,,Did not activate
U100001,2025-10-10,organic,iOS,Metro,35-44,False,,False,,False,Dropped (no onboarding),0.249,,Did not activate
U100002,2025-10-21,influencer,iOS,Tier 3,25-34,True,2025-10-25,True,2025-10-31,False,Voter,0.431,0.339,Active voters
U100003,2025-10-10,organic,iOS,Tier 1,25-34,False,,False,,False,Dropped (no onboarding),0.285,,Did not activate
U100004,2025-10-25,social_ads,Web,Tier 1,18-24,False,,False,,False,Dropped (no onboarding),0.225,,Did not activate
U100005,2025-11-03,social_ads,Android,Tier 2,25-34,True,2025-11-09,False,,False,Browser,0.385,0.425,Casual dippers
U100006,2025-10-10,social_ads,iOS,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.468,,Did not activate
U100007,2025-09-20,social_ads,iOS,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.049,,Did not activate
U100008,2025-10-20,organic,iOS,Metro,25-34,True,2025-10-27,True,2025-10-31,False,Voter,0.134,0.458,Casual dippers
U100009,2025-11-09,organic,Android,Tier 1,18-24,True,2025-11-13,True,2025-11-15,False,Voter,0.556,0.795,Active voters
U100010,2025-09-22,app_store,Android,Tier 3,18-24,True,2025-09-27,True,2025-10-02,True,Voter,0.366,0.424,Power creators
U100011,2025-10-12,referral,Web,Metro,25-34,False,,False,,False,Dropped (no onboarding),0.177,,Did not activate
U100012,2025-11-08,social_ads,Android,Tier 2,25-34,True,2025-11-14,True,2025-11-17,True,Creator,0.658,0.642,Power creators
U100013,2025-10-02,referral,Web,Metro,18-24,False,,False,,False,Dropped (no onboarding),0.078,,Did not activate
U100014,2025-10-22,influencer,Android,Tier 1,35-44,True,2025-11-04,False,,False,Browser,0.888,0.27,Low-touch browsers
U100015,2025-09-30,app_store,Android,Tier 2,18-24,False,,False,,False,Dropped (no onboarding),0.031,,Did not activate
U100016,2025-09-20,social_ads,Web,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.219,,Did not activate
U100017,2025-09-24,app_store,iOS,Tier 3,25-34,False,,False,,False,Dropped (no onboarding),0.254,,Did not activate
U100018,2025-10-17,influencer,iOS,Tier 2,25-34,False,,False,,False,Dropped (no onboarding),0.53,,Did not activate
U100019,2025-10-11,organic,Android,Tier 1,18-24,True,2025-10-25,False,,False,Browser,0.274,0.378,Low-touch browsers
U100020,2025-10-22,influencer,Android,Metro,18-24,True,2025-11-03,False,,False,Browser,0.054,0.287,Low-touch browsers
U100021,2025-09-22,app_store,Android,Metro,18-24,True,2025-09-25,True,2025-09-26,False,Voter,0.538,0.606,Active voters
U100022,2025-10-26,influencer,iOS,Tier 3,18-24,False,,False,,False,Dropped (no onboarding),0.49,,Did not activate
